"Name","Max Date","R.A.","Dec.","z","Type"
"SN2011ep","2011/07/08","17:03:41.78","+32:45:52.6,+32:45:52.60","0.28,0.28","Ic"
"PTF11ixk","2011/07/23","13:21:45.03","+31:14:04.6","0.021","Ic"
"PTF11izq","2011/07/25","13:47:30.11","+40:04:32.5","0.062","Ib"
"PTF11ilr","2011/07/29","23:07:32.50","+15:20:23.0","","Ib"
"SN2011ee","2011/07/31","23:27:57.34","+08:46:38.1,+08:46:38.10,+08:46:38.0","0.03","Ic"
"PTF11kaa","2011/08/02","17:26:24.17","+46:51:29.6","0.04","Ib"
"SN2011gd","2011/08/17","16:34:25.67","+21:32:28.4,+21:32:28.39,+21:32:28.3","0.0098","Ib"
"PTF11klg","2011/09/06","22:07:09.92","+06:29:08.7","0.026522","Ic"
"PTF11kmb","2011/09/16","22:22:53.61","+36:17:36.5","0.017","Ib-Ca"
"SN2011fl","2011/09/25","00:47:19.93","+27:49:35.5,+27:49:35.51","0.0158","Ib"
"SN2011ft","2011/09/25","17:52:42.98","+29:04:10.6,+29:04:10.60","0.0173","Ib"
"SN2011gh","2011/09/25","07:32:14.94,07:32:14.9,07:32:14.88","+25:54:14.6,+25:54:15,+25:54:14.62,+25:54:14.76","0.0189","Ib"
"PTF11qcj","2011/11/01","13:13:41.51","+47:17:57.0","0.028","Ib"
"SN2011fz","2011/11/23","22:58:20.30,22:58:20.3,22:58:20.29,22:58:20.4","+02:17:29.9,+02:17:30,+02:17:29.90,+02:17:29.8,+02:17:29.904","0.0161","Ib"
"LSQ11jw","2011/12/14","02:04:47.40","+00:50:06.0","0.02","Ic"
"SN2011jm","2011/12/23","12:54:51.10,12:54:51.1,12:54:51.09,12:54:51.12","+02:39:14.9,+02:39:15,+02:39:14.90,+02:39:14.8,+02:39:14.904","0.0031","Ic"
"SN2011it","2011/12/24","22:02:44.43,22:02:44.45","+31:41:48.5,+31:41:49.09,+31:41:49.0","0.015894","Ic"
"SN2011kf","2011/12/30","14:36:57.53","+16:30:56.6,+16:30:56.59","0.245,0.245","Ic"
"SN2012C","2012/01/04","09:37:30.48","+32:50:31.5,+32:50:31.49","0.0145","Ic"
"SN2012F","2012/01/04","00:33:19.54","+03:48:17.4,+03:48:17.39","0.03","Ib"
"SN2011kg","2012/01/11","01:39:45.51,01:39:45.50,01:39:45.528","+29:55:27.0,+29:55:27.01,+29:55:27.43","0.1924","SLSN-I"
"SN2012il","2012/01/15","09:46:12.91,09:46:12.85","+19:50:28.7,+19:50:28.21,+19:50:28.2","0.175,0.175","SLSN-I"
"SN2012aa","2012/01/28","14:52:33.48,14:52:33.5","-03:31:54.0,-03:31:54,-03:31:54.01","0.0797","Ic"
"SN2012ap","2012/02/18","05:00:13.72","-03:20:51.2,-03:20:51.22","0.01224","Ic BL"
"PTF12bwq","2012/03/21","13:46:54.42","+25:17:27.2","0.04","Ib"
"PS1-12sk","2012/03/27","08:44:54.860,08:44:54.86,08:44:54.857","+42:58:16.89,+42:58:16.9","0.05402","Ibn"
"LSQ12bph","2012/03/31","15:47:32.420,15:47:32.42","+23:04:46.38","0.045","Ic"
"SN2012bw","2012/04/22","16:12:56.09,16:12:56.1,16:12:56.16","+32:30:42.3,+32:30:42,+32:30:42.30,+32:30:42.12","0.0309","Ic"
"PTF12cde","2012/05/21","13:58:58.39","+36:14:26.4","0.0125","Ib/c"
"SN2012cw","2012/06/14","10:13:47.95","+03:26:02.6,+03:26:02.62","0.004486","Ic"
"SN2012dp","2012/06/17","16:00:35.09,16:00:35.1,16:00:35.04","+15:41:04.3,+15:41:04,+15:41:04.31,+15:41:04.2","0.0359","Ib"
"PTF12gvr","2012/07/19","16:05:13.32","+30:28:07.0","0.056","Ib/c"
"SN2012dx","2012/08/06","19:17:17.35","+33:25:48.7,+33:25:48.68","0.0149","Ib"
"PTF12gzk","2012/08/11","22:12:41.53","+00:30:43.1","0.01377","Ic"
"SN2012ek","2012/08/17","18:40:28.84","+36:07:17.4,+36:07:17.40","0.028563","Ib"
"LSQ12elq","2012/08/19","20:32:15.46","+01:29:15.7","","Ic?"
"SN2012ej","2012/08/23","06:26:51.01","+59:05:02.6,+59:05:02.62","0.0089","Ic"
